RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Forum voor Democratie;VVD;CDA;GROENLINKS;Partij van de Arbeid (P.v.d.A.);Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);ChristenUnie/SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!
Aa en Hunze;G1680;10787;Drenthe;P22;20686;13138;20;36;13082;1396;2369;794;1348;2071;854;587;685;399;585;397;37;11;;;;;;;;;;;;;;;1195;;;;297;;;57;;
Aalsmeer;G0358;11264;Noord-Holland;P27;22988;13925;27;53;13845;2942;2861;1665;1139;943;953;768;439;913;462;;;43;374;;174;;;;;144;;25;;;;;;;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;21220;11853;27;41;11785;1402;1503;3357;828;830;631;602;819;742;315;452;85;73;;;;;;;;;;;125;;;;;;;;;;21;;;
Achtkarspelen;G0059;10199;Fryslân;P21;21584;12469;20;29;12420;2000;637;2471;466;1157;245;1206;494;1507;195;181;270;8;;;;1243;;;;;;;;;;;;;;288;;52;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;14864;9059;34;12;9013;1351;913;730;311;767;334;595;317;1075;218;318;1794;132;;;53;;;;;;61;10;;;;;;;;;;;34;;;
Albrandswaard;G0613;10124;Zuid-Holland;P28;19076;10842;29;29;10784;2605;2094;893;619;705;671;779;427;490;437;636;176;106;;;39;;;;;;82;15;;;;;;;;;;;10;;;
Alkmaar;G0361;10527;Noord-Holland;P27;83787;47836;135;129;47572;7215;6231;3383;7484;5258;3994;2841;2735;1270;3144;;;649;1231;;837;;;;;1115;;185;;;;;;;;;;;;;;
Almelo;G0141;11053;Overijssel;P23;55326;27735;86;70;27579;4491;3760;3393;2178;2519;1455;3252;2040;1376;811;995;197;1112;;;;;;;;;;;;;;;;;;;;;;;;
Almere;G0034;10018;Flevoland;P24;148679;71297;355;198;70744;13303;9271;2721;7724;6880;4260;7028;4527;2491;4289;4512;256;2199;;;;;;;;;;;;;;;;;;;;;221;;518;544
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;84406;49066;106;140;48820;8246;9426;4890;4158;3458;3865;2615;2356;3162;1755;2083;1591;543;;;174;;;;;;402;96;;;;;;;;;;;;;;
